time,phoneme,F1,F2,F3,,
4.604442796,/ɤ/,478.8623197,1089.49708,1873.89565,,
4.802954264,/a/,780.1447365,1226.394715,1758.891079,,
5.081697451,/ɯ/,467.6619657,836.7410626,1672.976588,,
5.245469412,/ʊ/,520.9403654,1811.062754,2840.244496,,
6.181977417,/a/,1054.040416,1455.188834,3182.477433,,
6.548396502,/ʌ/,567.2555483,1598.047233,3124.781299,,
6.825485427,/ɔ/,557.0798967,1081.7758,2923.297531,,
6.889174523,/u/,566.6241799,870.0976579,2650.17435,,
7.067834844,/ɤ/,475.9547406,904.490724,1618.103464,,
7.275444755,/a/,872.5178121,1681.126283,2872.325426,,
7.558323597,/ɯ/,563.1598298,1647.622984,3094.623355,,
7.718787034,/ʊ/,502.7699769,1135.105471,1891.851031,,
1.071549479,/a/,913.2026687,1550.126255,1664.965606,,
1.492540966,/a/,912.2630195,1404.476909,1752.21206,,
1.895348804,/ɤ/,462.1219285,910.6196964,2369.444433,,
1.923526141,/i/,300.5513125,2471.99805,2953.548784,,
2.148944835,/a/,632.2016356,1667.20827,2348.784519,,
2.236038421,/ɞ/,820.7923942,1347.179376,1777.289145,,
3.814999658,/a/,960.1675583,1643.296678,3005.075457,,
4.143250621,/a/,877.6499226,1732.862186,3065.906364,,
4.718344762,/ɤ/,525.4670778,1989.829072,2906.648959,,
4.763076045,/i/,422.0378666,2438.355004,2916.365594,,
4.985134913,/a/,664.3818627,2257.010529,3106.816576,,
5.073798705,/ɞ/,764.823706,1876.380474,2915.571383,,
6.417765095,/a/,955.7510713,1666.092625,2942.290657,,
6.768426401,/a/,906.8350822,1699.900664,2972.736438,,
7.218934319,/ɤ/,587.6288099,2058.986173,2890.107363,,
7.265263148,/i/,381.3810248,2462.678788,2999.370286,,
7.484925697,/a/,653.3758806,2187.322994,2775.309007,,
7.548028756,/ɞ/,681.4611024,1968.607448,2839.305672,,
1.349682445,/a/,1036.783215,1431.649322,1569.296465,,
1.772608711,/ɞ/,524.6204259,1823.233145,2751.949065,,
1.971888784,/a/,803.3845339,1331.921102,1819.567436,,
2.309533622,/a/,871.2666107,1787.244395,1902.99816,,
2.371319147,/I/,651.1039903,2319.964595,2951.567352,,
2.655010428,/a/,879.7768338,1133.925322,1928.603275,,
2.718388913,/e/,550.563338,1173.646045,2336.107218,,
2.865603343,/a/,723.5658365,1011.422558,1789.554024,,
2.93333334,/e/,744.8329522,2025.096356,2816.140196,,
3.776726452,/a/,868.6213349,1280.385091,1782.180336,,
4.257561586,/ɞ/,499.5060053,1671.416903,2229.726287,,
4.417360089,/a/,862.9318911,1872.610597,2880.087747,,
4.722560833,/a/,852.6180498,1637.94777,1808.114966,,
